Id,Year,Country,Lane,Integron,Plasmid,Sindh,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,strA__color,strB__color,blaCTXM15__color,qnrS__color,catA1__color,blaTEM1__color,dfrA7__color,sul1__color,sul2__color,Longitude,Latitude,gyrA_S83F,gyrA_S83F__colour,parE_L416F,parE_L416F__colour
22420_1_3_PakBL55719_2016,2017,Pakistan,22420_1_3,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_30_PakBL1783_2017,2017,Pakistan,22420_1_30,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_31_PakBL3349_2017,2017,Pakistan,22420_1_31,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_32_PakBL2749_2017,2017,Pakistan,22420_1_32,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_33_PakBL3748_2017,2017,Pakistan,22420_1_33,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_34_PakBL4006_2017,2017,Pakistan,22420_1_34,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_35_PakBL1986_2017,2017,Pakistan,22420_1_35,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_36_PakBL1908_2017,2017,Pakistan,22420_1_36,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_37_PakBL3963_2017,2017,Pakistan,22420_1_37,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_38_PakBL250_2017,2017,Pakistan,22420_1_38,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_39_PakBL1352_2017,2017,Pakistan,22420_1_39,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_4_PakBL56360_2016,2017,Pakistan,22420_1_4,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_40_PakBL4108_2017,2017,Pakistan,22420_1_40,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_41_PakBL7563_2017,2017,Pakistan,22420_1_41,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_42_PakBL6072_2017,2017,Pakistan,22420_1_42,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_43_PakBL4714_2017,2017,Pakistan,22420_1_43,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_44_PakBL6578_2017,2017,Pakistan,22420_1_44,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_45_PakBL6048_2017,2017,Pakistan,22420_1_45,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_46_PakBL6628_2017,2017,Pakistan,22420_1_46,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_47_PakBL6547_2017,2017,Pakistan,22420_1_47,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_48_PakBL5726_2017,2017,Pakistan,22420_1_48,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_49_PakBL0037_2017,2017,Pakistan,22420_1_49,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_5_PakBL56690_2016,2017,Pakistan,22420_1_5,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_50_PakBL4590_2017,2017,Pakistan,22420_1_50,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_51_PakBL5339_2017,2017,Pakistan,22420_1_51,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
